"No.","Time","Source","Destination","Protocol","Length","Info"
"251","3.308381900","20.96.153.111","192.168.2.27","TLSv1.2","92","Application Data"
"252","3.308544200","192.168.2.27","20.96.153.111","TCP","54","55532  >  443 [ACK] Seq=13545 Ack=9779 Win=260608 Len=0"
"253","3.333878100","fe80::1867:f335:a6dd:39f7","ff02::fb","MDNS","170","Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question PTR _hap._tcp.local, ""QM"" question PTR Bedroom._companion-link._tcp.local PTR LG webOS TV 5391._hap._tcp.local"
"254","3.772544400","72.154.58.113","192.168.2.27","TCP","54","443  >  55512 [ACK] Seq=1 Ack=1 Win=59 Len=0"
"255","3.772667100","192.168.2.27","72.154.58.113","TCP","54","[TCP ACKed unseen segment] 55512  >  443 [ACK] Seq=1 Ack=2 Win=255 Len=0"
"256","3.778336500","13.107.136.10","192.168.2.27","TCP","54","443  >  62303 [ACK] Seq=1 Ack=1 Win=49150 Len=0"
"257","3.778442100","192.168.2.27","13.107.136.10","TCP","54","[TCP ACKed unseen segment] 62303  >  443 [ACK] Seq=1 Ack=2 Win=255 Len=0"
"258","3.947302700","192.168.2.28","224.0.0.251","MDNS","180","Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question PTR _rdlink._tcp.local, ""QM"" question PTR _hap._tcp.local, ""QM"" question PTR _hap._udp.local, ""QM"" question PTR Bedroom._companion-link._tcp.local PTR LG webOS TV 5391._hap._tcp.local"
"259","3.947302700","fe80::1867:f335:a6dd:39f7","ff02::fb","MDNS","200","Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question PTR _rdlink._tcp.local, ""QM"" question PTR _hap._tcp.local, ""QM"" question PTR _hap._udp.local, ""QM"" question PTR Bedroom._companion-link._tcp.local PTR LG webOS TV 5391._hap._tcp.local"
"260","4.082372200","192.168.2.27","104.208.16.89","TLSv1.3","1082","Application Data"
"261","4.127742000","104.208.16.89","192.168.2.27","TLSv1.3","499","Application Data"
"262","4.127862000","192.168.2.27","104.208.16.89","TCP","54","55531  >  443 [ACK] Seq=2477 Ack=9500 Win=261120 Len=0"
"263","4.837580100","13.107.137.11","192.168.2.27","TCP","54","443  >  63973 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"264","4.993412300","2001:4958:39c4:4c01:4017:e224:4d19:eaed","2001:4958:300:480::b896:9d82","TCP","86","55518  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1440 WS=256 SACK_PERM"
"265","4.995551700","2001:4958:39c4:4c01:8220:daff:fe0e:7ab8","2001:4958:39c4:4c01:4017:e224:4d19:eaed","ICMPv6","134","Destination Unreachable (Address unreachable)"
"266","5.500821900","192.168.2.27","224.0.0.251","MDNS","116","Standard query 0x0000 PTR _ni-rt._tcp.local, ""QM"" question PTR _ni-sysapi._tcp.local, ""QM"" question PTR _ni._tcp.local, ""QM"" question PTR _http._tcp.local, ""QM"" question"
"267","5.638153000","13.107.137.11","192.168.2.27","TCP","54","443  >  63971 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"268","5.691561300","192.168.2.27","20.189.173.15","TCP","66","55534  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
